seriesuid,coordX,coordY,coordZ,probability
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,-35.15,88.41,-135.72,1.28226e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,69.63,230.86,-619.49,1.88042e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,129.36,-16,-191.89,0.000226858
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,28.93,60.63,-267.3,0.0705241
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,-21.22934575,51.71319316,-143.4916429,8.07471e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-31.14,233.91,-802.7,0.000139814
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-82.47770021,62.88379978,-245.2564002,6.57109e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,-45.01,-11.07,-161.84,9.77555e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-63.46,198.79,-838.37,2.92213e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-82.645,-126.21,-222.225,8.03418e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,142.0713075,14.7837299,-219.0491127,1.59126e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,-94.3108116,-75.61586053,-326.9173872,8.69807e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,102.37,27.67,-225.1,1.02211e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,-57.65,-9.59,-136.53,1.49209e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,45.12130753,93.12812819,-154.4803369,2.94366e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,71.37,84.73,-228.64,0.000180576
1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,152.42,-177.54,-352.49,5.61382e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,-87.685,-4.44,-139.84,6.87906e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.278660284797073139172446973682,-47.07183852,32.33507,-81.88402392,1.3255e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,-91.87,136.78,1625.34,2.53595e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,-86.085,50.655,-251.39,1.59004e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986,-95.92200022,-15.14935023,-191.7825002,1.26149e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,66.07131749,-45.2353026,-170.002532,0.000446703
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,124.7137079,-25.02766341,-177.9035078,0.000110394
1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304,-43.46,-34.42,-134.72,0.0399706
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,-63.2,37.83,-180.02,6.57538e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,120.64,-57.46,-238.55,3.90569e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830,92.3,86.1,-199.41,3.75868e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,-21.69911635,63.17900624,-179.870968,2.49805e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,-17.350006,20,-211,1.09185e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,-91.52055984,77.78308786,-212.922936,1.74297e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,49.03,97,-159.17,6.78223e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.302134342469412607966016057827,-49.2539907,19.01379975,-86.4231405,5.9484e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,54.28955641,49.14666243,-288.5071086,4.4655e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,113.8441289,-26.96267107,-204.0735485,7.66571e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,-53.4849037,-19.72948452,-112.0324147,7.17438e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,-61.92893675,158.2188752,-597.573913,0.000295468
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,134.65,54.89,-235.73,4.89857e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.975254950136384517744116790879,48.6320331,14.46855534,-134.6434724,2.64712e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,87.7,-22.42,-138.92,3.85007e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,-76.28,82.58,-118.39,1.27776e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,-27.4,-3.8,-195.16,9.78833e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,-47.28210241,74.82479152,1638.229339,2.07929e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,-96.45255577,-80.69460022,-275.0822224,1.12175e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.238522526736091851696274044574,93.22,-119.11,-165.6,2.56455e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,43.52,28.69,-59.69,0.000122872
1.3.6.1.4.1.14519.5.2.1.6279.6001.105756658031515062000744821260,-18.38305839,-56.73553807,-189.8840115,4.81771e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.657775098760536289051744981056,-119.0572224,-2.010026143,-209.8229632,2.33578e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.249530219848512542668813996730,-43.08,44.5,-28.55,1.61679e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.310548927038333190233889983845,22,-31,-93.45,1.4953e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,-37.99,-51.17,-186.17,8.84458e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,-91.67291325,-151.2841306,-164.8978263,1.02425e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.430109407146633213496148200410,69.97,-130.85,-319.29,0.0193729
1.3.6.1.4.1.14519.5.2.1.6279.6001.724251104254976962355686318345,-62.84,204.35,-560.05,0.00551476
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-110.615,58.835,-198.81,0.000393816
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,-81.76616399,170.552849,1652.593654,4.98555e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,-46,-7.82,-134.185,0.000435537
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,27.76160703,169.9802607,-515.2142514,5.33973e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,-136.7,59.03,-112.08,2.7366e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,117.9738331,45.31529979,-259.2991669,1.21846e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,-62.11525329,-33.38887562,-187.9540505,5.95048e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.231645134739451754302647733304,-28.04,57.38,-170.52,4.06708e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,84.35143744,50.26713786,-114.7633893,4.63086e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,-25.96925575,112.4815776,1802.021111,5.20663e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,93.47158587,-87.72253186,-244.3626584,5.42177e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,-46.41707727,167.22171,-482.701449,1.02902e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,12.23,81.14,-210.15,6.6506e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.250863365157630276148828903732,50.533311,-54.36359304,-175.7728031,0.000134004
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,-67.86,204.465,-556.4,7.70355e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.250438451287314206124484591986,-26.71,85.45,-100.69,0.00461908
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,42.98,138,-397.4,2.27823e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,-52.18,89.18,-472.21,1.84962e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,-73.43,164.65,-285.57,2.74353e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,52,238.94,-372.64,1.56685e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,-26.69,65.2,-213.28,0.000111753
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,51.67135142,189.2073869,-705.2403228,0.0122969
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,-18.18704851,23.51852904,-170.3328254,6.64399e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,50.16351855,58.73644534,-247.2899012,0.000138708
1.3.6.1.4.1.14519.5.2.1.6279.6001.139258777898746693365877042411,-51.32,-95.21,-211.24,0.039645
1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,8.952961323,53.75908554,-87.62308147,3.01911e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.139713436241461669335487719526,-53.02340776,-36.74533249,-142.2753765,5.46825e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,106.65,19.15,-220.635,2.61234e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,-69.62,-16.27,-149.49,4.05748e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,58.13910075,171.7803437,-656.8674878,2.22035e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.303421828981831854739626597495,11.4,79.08,1628.85,3.9668e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,-101.13,65.99,-270.05,0.058878
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,49.28,210.84,-492.84,1.533e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,-88.48255124,90.22912631,-245.6836737,3.30706e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,-131.4978057,-206.682889,-239.6184029,1.22995e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,-51.33962097,145.4699093,-288.4322706,0.000379785
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,63.19,44.38,-99.92,1.10307e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,67.89,124.69,-693.09,1.7229e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,125.5186563,-42.57783456,-265.0227275,2.12072e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-85.7614447,-61.57381134,-140.6300002,2.93127e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,-10.59,-167.34,-237.4,8.46135e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,64.53,-43.41,-37.16,1.02732e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,-21.41,-80.24,-129.29,1.23298e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-87.1,-46.7,-81.98,0.148859
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,-126.5414025,-12.92573126,-225.797414,1.15288e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-40.35216848,152.8288793,-776.3068275,2.55577e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.294188507421106424248264912111,-33.84,-2.66,-71.96,5.2897e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,-43.24,126.88,-705.33,1.06399e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,103.2,14.3,-253.85,2.15525e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,-64.27537117,52.87062771,-113.4474862,0.000235627
1.3.6.1.4.1.14519.5.2.1.6279.6001.138080888843357047811238713686,123.03,112.57,-586.62,2.54972e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,76.9610452,20.07208291,-129.9988676,1.99839e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,69.58578255,87.86520323,-210.595345,2.35767e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.511347030803753100045216493273,-83.27219572,29.04054586,-193.5691013,0.00112678
1.3.6.1.4.1.14519.5.2.1.6279.6001.317087518531899043292346860596,-39.04,34.37,-164.63,5.23814e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,56.65375654,-165.1210919,-121.8884281,3.05247e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.210837812047373739447725050963,95.44,-140.95,-146.1,1.90786e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,99.7128314,85.89732907,-175.749186,1.55303e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.716498695101447665580610403574,-88.23,-111.39,-237.36,0.000130339
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,67.34,-45.91,-180.73,2.01781e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,-22.60959458,32.08147089,-308.61975,0.00314866
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,-51.06,232.81,-583.64,1.46097e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,79.29367499,-119.5311573,-126.6695595,2.77864e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,-69.35899007,-11.60464224,-118.8217394,2.22668e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.417815314896088956784723476543,-66.83,140.48,-687.31,1.93705e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,-78.00285022,-12.29134466,-140.1173613,5.38911e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,-79.02,203.475,-499.3,0.000737363
1.3.6.1.4.1.14519.5.2.1.6279.6001.213140617640021803112060161074,59.95,253.66,-746.53,0.000597921
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,38.6,89,-167.05,3.70898e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,-123.422306,39.40808244,-245.9157027,2.12326e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,49.34536275,103.6721479,-112.8192595,0.000130582
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,-41.72,64.93,-111.5,1.3235e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.188376349804761988217597754952,69.6,219.4,-468.9,6.90668e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,73.08948496,56.51590349,-142.7268521,5.14743e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.450501966058662668272378865145,-78.2649653,68.04894324,172.9260975,1.05861e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,-48.43848098,79.60257413,-56.8659093,1.4827e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,-95.90904371,35.94491719,-129.5500002,6.15779e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,-53.61604634,-1.66418124,-210.0348114,4.88407e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.281489753704424911132261151767,-68.56,-4.84,-173.23,2.83015e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.141069661700670042960678408762,-51.22649553,231.304116,-732.0951165,2.03129e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,34.2,-39.79,-156.43,3.50124e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,-98.33,49.33,-124.77,2.64476e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.111172165674661221381920536987,73.04,85.81,-117.52,3.46015e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,-91.99950899,40.12048926,-104.0337721,2.74671e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,-57.29,78.71,-303.29,1.5311e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,86.68,140.28,1729.23,3.0794e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,-54.60432303,73.0619226,-119.6771932,3.06009e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.534006575256943390479252771547,35.70966725,-14.83152657,-116.2211506,5.67483e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,-98.39970889,59.32469271,-271.1653546,1.57194e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,50.35819162,-118.9688952,-46.05194574,8.4877e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,129.8470178,96.94184933,-298.1040543,6.11213e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.534083630500464995109143618896,-42.8,55.67,-135.75,3.41791e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,-60.14913721,99.26573837,-190.7840698,0.000152235
1.3.6.1.4.1.14519.5.2.1.6279.6001.334517907433161353885866806005,-129.4636228,180.2354903,-496.5240568,1.82427e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,41.34,55.64,-129,7.99375e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.657775098760536289051744981056,80.0597412,-6.847484889,-152.7893479,2.48071e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.295420274214095686326263147663,40.74,44.76,-215.79,1.33919e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.202811684116768680758082619196,-116.5594983,37.28963611,-177.114607,3.66175e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.219087313261026510628926082729,-41.68,101.13,-513.365,0.000410555
1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,-90.03,21.34,-151.95,0.0428644
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,26.82778064,175.472099,-587.0528961,1.78408e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,-97.14,-75.71,-183.91,4.19372e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.979083010707182900091062408058,-50.66402043,115.892515,-158.107677,1.26389e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,-77.98642869,100.2481821,-101.2710267,0.000143012
1.3.6.1.4.1.14519.5.2.1.6279.6001.525937963993475482158828421281,-69.72,-0.81,-85.82,1.60658e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,-88.89,91.61,-211.33,4.11911e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,-37.185,-98.985,-60.645,0.000234227
1.3.6.1.4.1.14519.5.2.1.6279.6001.219909753224298157409438012179,113.5129124,31.28243966,-275.2189382,3.42473e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.241570579760883349458693655367,-52.66,59.75,1647.8,7.66872e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.227962600322799211676960828223,-12.968425,3.466699,-161,2.60264e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.305858704835252413616501469037,-27.06627848,76.31299109,-257.3521741,0.00171674
1.3.6.1.4.1.14519.5.2.1.6279.6001.126121460017257137098781143514,-30.55,41.47,-227.14,3.31916e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.277445975068759205899107114231,93.37926315,-95.22436156,-174.3901507,2.6478e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,74.49958728,-1.157975216,-156.037396,4.37562e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.313605260055394498989743099991,-61.56,-8,-120.84,2.27708e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,-37.95501064,35.74073145,-148.0356496,1.22313e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.293757615532132808762625441831,82.57585947,-5.519850592,-162.7254142,1.06596e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,41.93737414,36.08737415,-176.0782053,1.26267e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,-69.31534386,33.04234429,-188.77744,0.000313815
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,59.19817397,7.764333016,-209.5408359,6.94572e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.657775098760536289051744981056,106.4840546,53.23848043,-171.5051615,3.50911e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.323859712968543712594665815359,43.25,15.25,-258.3,7.93086e-05
1.3.6.1.4.1.14519.5.2.1.6279.6001.128023902651233986592378348912,16.44,-35.76,-132.545,0.00664879
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,101.79,43.65,-237.56,8.22189e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,82.47,-30.82,-134.7,1.70385e-10
1.3.6.1.4.1.14519.5.2.1.6279.6001.323302986710576400812869264321,77.14,-96.64,-206.13,5.62976e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.640729228179368154416184318668,-89.69,-178.23,-77.49,0.000647098
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,-108.5193825,-79.84787363,-306.0594119,1.02915e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.109002525524522225658609808059,10.655,14.58,-44.66,0.000741438
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,47.37,-67.51,-116.06,1.43068e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.404364125369979066736354549484,-42.78,-124.91,-189.81,3.72029e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.146429221666426688999739595820,115.16,-225.75,-289.49,0.000230194
1.3.6.1.4.1.14519.5.2.1.6279.6001.564534197011295112247542153557,-25.06056507,86.14057816,-130.0614867,0.000115332
1.3.6.1.4.1.14519.5.2.1.6279.6001.313334055029671473836954456733,-90.34343884,32.63658749,-126.3519739,3.14903e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.313835996725364342034830119490,-112.7535382,6.121169167,-120.500679,2.59451e-08
1.3.6.1.4.1.14519.5.2.1.6279.6001.216882370221919561230873289517,-87.96,93.56,-187,7.87261e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.134996872583497382954024478441,-36.3,38.47,-83.23,0.0116509
1.3.6.1.4.1.14519.5.2.1.6279.6001.310626494937915759224334597176,65.01258887,23.70518098,-159.1293631,1.05226e-06
1.3.6.1.4.1.14519.5.2.1.6279.6001.397062004302272014259317520874,25.13896633,202.8078984,-631.3156066,2.1021e-07
1.3.6.1.4.1.14519.5.2.1.6279.6001.194440094986948071643661798326,-139.21,-188.59,-241.59,1.74737e-09
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,70.04903311,15.83410978,-126.1181336,4.06906e-06
